date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-03-01,33.32,33.74,33.26,33.64,2241139,2241139,1.15,3.54,33.5323,"Mar 1, 17",0
2017-03-02,33.37,33.59,32.93,32.94,1961002,1961002,-0.7,-2.081,33.1872,"Mar 2, 17",-0.02080856123662315
2017-03-03,33.45,33.9,33.33,33.84,1698890,1698890,0.9,2.732,33.6073,"Mar 3, 17",0.005945303210463818
2017-03-06,33.03,33.14,32.84,33.06,1516587,1516587,-0.78,-2.305,32.9878,"Mar 6, 17",-0.017241379310344775
2017-03-07,33.09,33.115,32.795,32.84,1704317,1704317,-0.22,-0.665,32.9156,"Mar 7, 17",-0.02378121284185485
2017-03-08,32.2,32.21,31.21,31.23,2454670,2454670,-1.61,-4.903,31.5654,"Mar 8, 17",-0.071640903686088
2017-03-09,30.88,31.05,30.43,30.69,2614889,2614889,-0.54,-1.729,30.7003,"Mar 9, 17",-0.08769322235434004
2017-03-10,31,31.04,30.43,30.68,1915744,1915744,-0.01,-0.033,30.7026,"Mar 10, 17",-0.08799048751486328
2017-03-13,31.48,31.54,31.24,31.32,1729293,1729293,0.64,2.086,31.3989,"Mar 13, 17",-0.06896551724137932
2017-03-14,30.97,31.2501,30.7,31.12,1722328,1722328,-0.2,-0.639,31.0377,"Mar 14, 17",-0.07491082045184302
2017-03-15,31.71,32.74,31.415,32.7,2137154,2137154,1.58,5.077,31.9645,"Mar 15, 17",-0.02794292508917948
2017-03-16,33.19,33.19,32.59,32.7,2310464,2310464,0,0,32.8749,"Mar 16, 17",-0.02794292508917948
2017-03-17,32.93,33.15,32.78,32.97,1671991,1671991,0.27,0.826,33.0014,"Mar 17, 17",-0.019916765755053557
2017-03-20,32.84,33.1901,32.78,33.11,1426554,1426554,0.14,0.425,33.0207,"Mar 20, 17",-0.015755053507728926
2017-03-21,32.94,33.025,31.77,31.78,1861313,1861313,-1.33,-4.017,32.2301,"Mar 21, 17",-0.055291319857312705
2017-03-22,31.51,31.97,31.365,31.85,2406467,2406467,0.07,0.22,31.7054,"Mar 22, 17",-0.05321046373365039
2017-03-23,31.82,31.95,31.47,31.61,1607198,1607198,-0.24,-0.754,31.6636,"Mar 23, 17",-0.06034482758620693
2017-03-24,31.48,31.55,31.085,31.24,1892038,1892038,-0.37,-1.171,31.2853,"Mar 24, 17",-0.07134363852556487
2017-03-27,30.25,30.72,30.04,30.63,2069435,2069435,-0.61,-1.953,30.3701,"Mar 27, 17",-0.08947681331747924
2017-03-28,30.8,31.31,30.67,31.2,2720233,2720233,0.57,1.861,31.0209,"Mar 28, 17",-0.07253269916765759
2017-03-29,31.1,31.82,31.04,31.63,2221547,2221547,0.43,1.378,31.5467,"Mar 29, 17",-0.05975029726516057
2017-03-30,31.64,31.995,31.62,31.71,1412546,1412546,0.08,0.253,31.769,"Mar 30, 17",-0.05737217598097502
2017-03-31,31.08,31.37,31.02,31.15,1228324,1228324,-0.56,-1.766,31.1819,"Mar 31, 17",-0.07401902497027354
2017-04-03,31.29,31.42,30.83,31.18,1437084,1437084,0.03,0.096,31.0998,"Apr 3, 17",-0.07312722948870395
2017-04-04,31.51,31.685,31.33,31.65,1382758,1382758,0.47,1.507,31.5295,"Apr 4, 17",-0.05915576694411421
2017-04-05,32.46,32.805,31.81,31.87,2519562,2519562,0.22,0.695,32.2763,"Apr 5, 17",-0.05261593341260403
2017-04-06,32.13,32.33,31.79,31.91,1612654,1612654,0.04,0.126,32.0519,"Apr 6, 17",-0.051426872770511306
2017-04-07,31.65,32.4,31.64,31.85,1714914,1714914,-0.06,-0.188,31.9272,"Apr 7, 17",-0.05321046373365039
2017-04-10,32.96,33.16,32.83,32.97,2971448,2971448,1.12,3.516,32.9946,"Apr 10, 17",-0.019916765755053557
2017-04-11,33.32,33.44,32.72,33.32,3626184,3626184,0.35,1.062,33.1591,"Apr 11, 17",-0.009512485136741982
2017-04-12,32.27,32.34,31.7,31.9,3610847,3610847,-1.42,-4.262,31.9794,"Apr 12, 17",-0.051724137931034544
2017-04-13,31.79,31.99,31.46,31.5,1816430,1816430,-0.4,-1.254,31.7631,"Apr 13, 17",-0.06361474435196196
