date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-03-01,38.57,38.99,38.53,38.82,5016620,5016620,1,2.644,38.7633,"Mar 1, 17",0
2017-03-02,38.65,38.92,37.97,38.03,4893352,4893352,-0.79,-2.035,38.3879,"Mar 2, 17",-0.020350334878928365
2017-03-03,38.51,39.12,38.47,39.06,3187691,3187691,1.03,2.708,38.8257,"Mar 3, 17",0.006182380216383359
2017-03-06,38.39,38.51,38.1,38.34,2461989,2461989,-0.72,-1.843,38.287,"Mar 6, 17",-0.012364760432766535
2017-03-07,38.45,38.51,38.04,38.16,3251831,3251831,-0.18,-0.469,38.2001,"Mar 7, 17",-0.01700154559505419
2017-03-08,37.45,37.54,36.38,36.44,3379148,3379148,-1.72,-4.507,36.7509,"Mar 8, 17",-0.06130860381246787
2017-03-09,35.87,36.12,35.39,35.67,4457211,4457211,-0.77,-2.113,35.7453,"Mar 9, 17",-0.08114374034003087
2017-03-10,36.05,36.05,35.38,35.64,3765497,3765497,-0.03,-0.084,35.6628,"Mar 10, 17",-0.08191653786707882
2017-03-13,36.39,36.61,36.21,36.38,2596332,2596332,0.74,2.076,36.4195,"Mar 13, 17",-0.06285419886656357
2017-03-14,35.97,36.259,35.68,36.15,3928260,3928260,-0.23,-0.632,35.9796,"Mar 14, 17",-0.06877897990726434
2017-03-15,36.73,38.04,36.3921,37.96,3392239,3392239,1.81,5.007,37.3495,"Mar 15, 17",-0.022153529108706837
2017-03-16,38.29,38.38,37.845,37.91,4781365,4781365,-0.05,-0.132,38.0625,"Mar 16, 17",-0.023441524987120137
2017-03-17,38.21,38.35,38.11,38.18,1981766,1981766,0.27,0.712,38.2379,"Mar 17, 17",-0.016486347243688835
2017-03-20,38.11,38.54,38.04,38.45,2384182,2384182,0.27,0.707,38.3845,"Mar 20, 17",-0.009531169500257532
2017-03-21,38.18,38.28,36.915,36.96,3675220,3675220,-1.49,-3.875,37.3354,"Mar 21, 17",-0.04791344667697062
2017-03-22,36.71,37.2,36.5,37.07,2914160,2914160,0.11,0.298,36.9256,"Mar 22, 17",-0.04507985574446162
2017-03-23,36.98,37.12,36.645,36.82,2354153,2354153,-0.25,-0.674,36.8274,"Mar 23, 17",-0.05151983513652756
2017-03-24,36.62,36.78,36.31,36.51,2885500,2885500,-0.31,-0.842,36.5421,"Mar 24, 17",-0.05950540958268939
