date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-02-27,110.65,112.2697,110.37,111.75,7276445,7276445,1.63,1.48,111.703,"Feb 27, 17",0
2017-02-28,111.66,112.76,111.49,112.5,7030223,7030223,0.75,0.671,112.1996,"Feb 28, 17",0.006711409395973154
2017-03-01,112.92,114.3932,112.88,113.88,7353829,7353829,1.38,1.227,113.7762,"Mar 1, 17",0.01906040268456372
2017-03-02,113.67,114.27,113.31,113.36,5892485,5892485,-0.52,-0.457,113.7725,"Mar 2, 17",0.014407158836689034
2017-03-03,113.76,113.89,113.21,113.55,4909979,4909979,0.19,0.168,113.5651,"Mar 3, 17",0.016107382550335544
2017-03-06,113.25,113.5,112.67,113.17,4731940,4731940,-0.38,-0.335,113.0595,"Mar 6, 17",0.012706935123042521
2017-03-07,113.54,113.88,111.69,111.81,6660335,6660335,-1.36,-1.202,112.3777,"Mar 7, 17",0.0005369127516778727
2017-03-08,111.68,111.92,109.4,109.61,9071579,9071579,-2.2,-1.968,110.2314,"Mar 8, 17",-0.019149888143176738
2017-03-09,109.31,110.17,108.51,110.04,7247427,7247427,0.43,0.392,109.3558,"Mar 9, 17",-0.015302013422818736
2017-03-10,111.4,111.4099,109.44,110.61,6560329,6560329,0.57,0.518,110.2624,"Mar 10, 17",-0.0102013422818792
2017-03-13,110.51,110.81,109.31,109.35,6369288,6369288,-1.26,-1.139,109.6943,"Mar 13, 17",-0.021476510067114145
2017-03-14,108.47,108.5737,107.12,107.36,9935732,9935732,-1.99,-1.82,107.5828,"Mar 14, 17",-0.0392841163310962
2017-03-15,108.08,108.98,107.54,108.88,9472102,9472102,1.52,1.416,108.2342,"Mar 15, 17",-0.02568232662192398
2017-03-16,108.81,108.88,107.44,107.86,8894699,8894699,-1.02,-0.937,107.826,"Mar 16, 17",-0.03480984340044743
2017-03-17,108,108.42,107.68,107.68,14353407,14353407,-0.18,-0.167,107.9534,"Mar 17, 17",-0.03642058165548092
2017-03-20,107.27,107.85,107.02,107.66,5301890,5301890,-0.02,-0.019,107.488,"Mar 20, 17",-0.036599552572706966
2017-03-21,108.06,108.23,107.4,108.04,7406294,7406294,0.38,0.353,107.8737,"Mar 21, 17",-0.03319910514541381
2017-03-22,107.65,108.85,107.52,108.39,8106844,8106844,0.35,0.324,108.1851,"Mar 22, 17",-0.030067114093959728
2017-03-23,108.29,108.86,107.75,107.87,5451228,5451228,-0.52,-0.48,108.1644,"Mar 23, 17",-0.03472035794183441
2017-03-24,107.93,108.42,107.7,107.99,6339900,6339900,0.12,0.111,108.0405,"Mar 24, 17",-0.033646532438478795
2017-03-27,107,107.35,105.82,106.28,6479407,6479407,-1.71,-1.583,106.5336,"Mar 27, 17",-0.04894854586129753
2017-03-28,106.28,107.74,106.12,107.17,6331533,6331533,0.89,0.837,107.1235,"Mar 28, 17",-0.04098434004474271
2017-03-29,106.95,108.0799,106.88,108.07,4919884,4919884,0.9,0.84,107.6885,"Mar 29, 17",-0.03293064876957501
