date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-02-27,118.77,119.22,118.61,119.07,30467,30467,0.25,0.21,118.9123,"Feb 27, 17",0
2017-02-28,118.89,118.9668,118.4982,118.65,25891,25891,-0.42,-0.353,118.7345,"Feb 28, 17",-0.0035273368606700893
2017-03-01,119.67,120.51,119.46,120.23,48922,48922,1.58,1.332,120.1949,"Mar 1, 17",0.009742168472327294
2017-03-02,120.21,120.21,119.5,119.56,29126,29126,-0.67,-0.557,119.8154,"Mar 2, 17",0.004115226337448636
2017-03-03,119.47,119.63,119.2292,119.55,13424,13424,-0.01,-0.008,119.4408,"Mar 3, 17",0.004031242126480255
2017-03-06,119.01,119.3558,118.8308,119.17,31909,31909,-0.38,-0.318,119.0808,"Mar 6, 17",0.0008398421096834512
2017-03-07,119.02,119.22,118.74,118.84,24188,24188,-0.33,-0.277,118.9452,"Mar 7, 17",-0.001931636852271687
2017-03-08,118.88,119.086,118.45,118.52,14015,14015,-0.32,-0.269,118.8123,"Mar 8, 17",-0.004619131603258564
2017-03-09,118.52,118.799,118.04,118.53,21909,21909,0.01,0.008,118.459,"Mar 9, 17",-0.004535147392290183
2017-03-10,119.18,119.189,118.5999,118.98,26919,26919,0.45,0.38,118.9494,"Mar 10, 17",-0.000755857898714951
2017-03-13,119.11,119.17,118.84,119.17,14420,14420,0.19,0.16,119.0049,"Mar 13, 17",0.0008398421096834512
2017-03-14,118.81,118.81,118.25,118.67,9274,9274,-0.5,-0.42,118.5898,"Mar 14, 17",-0.003359368438733447
2017-03-15,118.92,119.9573,118.92,119.69,60991,60991,1.02,0.86,119.6974,"Mar 15, 17",0.005207021080036992
2017-03-16,119.89,119.9799,119.371,119.49,15950,15950,-0.2,-0.167,119.6825,"Mar 16, 17",0.0035273368606702086
2017-03-17,119.72,119.7682,119.3807,119.47,30130,30130,-0.02,-0.017,119.644,"Mar 17, 17",0.003359368438733566
2017-03-20,119.35,119.4319,118.9969,119.1783,11663,11663,-0.2917,-0.244,119.263,"Mar 20, 17",0.0009095490047870987
2017-03-21,119.53,119.53,117.51,117.61,26552,26552,-1.5683,-1.316,118.1732,"Mar 21, 17",-0.01226169480137729
2017-03-22,117.39,117.92,117.1797,117.79,94819,94819,0.18,0.153,117.4699,"Mar 22, 17",-0.010749979003947148
2017-03-23,117.63,118.36,117.61,117.7,34538,34538,-0.09,-0.076,117.9653,"Mar 23, 17",-0.01150583690266222
2017-03-24,117.46,117.735,116.835,117.14,23665,23665,-0.56,-0.476,117.3959,"Mar 24, 17",-0.016208952716889165
2017-03-27,116.19,117.229,115.9853,117.0736,40026,40026,-0.0664,-0.057,116.5785,"Mar 27, 17",-0.016766607877718942
2017-03-28,116.96,118.1,116.8201,118,14552,14552,0.9264,0.791,117.5786,"Mar 28, 17",-0.008986310573612105
2017-03-29,117.86,118.1926,117.6523,118.11,18695,18695,0.11,0.093,117.8621,"Mar 29, 17",-0.008062484252960392
2017-03-30,118.17,118.55,118.12,118.48,15756,15756,0.37,0.313,118.4103,"Mar 30, 17",-0.004955068447131849
2017-03-31,118.33,118.5599,118.23,118.26,22358,22358,-0.22,-0.186,118.3657,"Mar 31, 17",-0.006802721088435274
