date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-02-27,140.28,141.3352,140.06,141.27,16262,16262,0.99,0.706,140.8596,"Feb 27, 17",0
2017-02-28,141.05,141.3599,139.69,139.86,44443,44443,-1.41,-0.998,140.082,"Feb 28, 17",-0.00998088766192395
2017-03-01,141.12,142.2326,141.12,141.89,39860,39860,2.03,1.451,141.9287,"Mar 1, 17",0.004388759113753636
2017-03-02,142.01,142.01,140.342,140.67,21033,21033,-1.22,-0.86,141.1705,"Mar 2, 17",-0.0042471862391167455
2017-03-03,140.53,140.82,139.8,140.58,15286,15286,-0.09,-0.064,140.3645,"Mar 3, 17",-0.004884264174984057
2017-03-06,140.53,140.53,139.488,140.08,17857,17857,-0.5,-0.356,139.8703,"Mar 6, 17",-0.008423586040914545
2017-03-07,139.81,140.03,139.18,139.42,16594,16594,-0.66,-0.471,139.6163,"Mar 7, 17",-0.013095490903942965
2017-03-08,139.36,139.77,138.74,139,14191,14191,-0.42,-0.301,139.3413,"Mar 8, 17",-0.016068521271324486
2017-03-09,138.7,139.22,137.6341,138.3,11565,11565,-0.7,-0.504,138.6183,"Mar 9, 17",-0.021023571883627086
2017-03-10,138.86,139.19,137.9301,138.97,18408,18408,0.67,0.484,138.526,"Mar 10, 17",-0.016280880583280324
2017-03-13,138.75,139.2999,138.75,139.15,18664,18664,0.18,0.13,139.0262,"Mar 13, 17",-0.0150067247115453
2017-03-14,138.55,138.82,137.93,138.82,36687,36687,-0.33,-0.237,138.3793,"Mar 14, 17",-0.01734267714305951
2017-03-15,139.23,140.42,139.23,140.35,15113,15113,1.53,1.102,139.6854,"Mar 15, 17",-0.00651235223331221
2017-03-16,140.57,140.66,139.7701,140.13,12987,12987,-0.22,-0.157,140.2371,"Mar 16, 17",-0.008069653854321616
2017-03-17,140.06,140.2099,139.7,140.13,15014,15014,0,0,140.0635,"Mar 17, 17",-0.008069653854321616
2017-03-20,140.06,140.06,139.1832,139.5,16544,16544,-0.63,-0.45,139.544,"Mar 20, 17",-0.012529199405393997
2017-03-21,139.79,139.904,136.7429,137.03,16240,16240,-2.47,-1.771,137.6839,"Mar 21, 17",-0.0300134494230906
2017-03-22,136.71,137.35,136.5,137.35,13603,13603,0.32,0.234,136.8568,"Mar 22, 17",-0.027748283428895133
2017-03-23,137.07,138.29,137.07,137.81,8875,8875,0.46,0.335,137.8683,"Mar 23, 17",-0.02449210731223903
2017-03-24,138.05,138.4296,137.32,137.59,8813,8813,-0.22,-0.16,137.9803,"Mar 24, 17",-0.026049408933248436
2017-03-27,137,137.4599,135.7449,137.35,33124,33124,-0.24,-0.174,136.8062,"Mar 27, 17",-0.027748283428895133
2017-03-28,136.88,138.5759,136.88,138.3,19267,19267,0.95,0.692,137.9285,"Mar 28, 17",-0.021023571883627086
2017-03-29,138.12,138.69,137.381,138.6,17251,17251,0.3,0.217,138.3583,"Mar 29, 17",-0.018899978764068917
2017-03-30,138.52,139.1656,138.52,139.13,6844,6844,0.53,0.382,138.9311,"Mar 30, 17",-0.01514829758618259
2017-03-31,139.11,139.66,138.9192,139.12,13608,13608,-0.01,-0.007,139.2836,"Mar 31, 17",-0.015219084023501136
2017-04-03,139.45,139.62,137.9388,138.65,17382,17382,-0.47,-0.338,138.6142,"Apr 3, 17",-0.018546046577475786
2017-04-04,138.37,138.56,138,138.32,16865,16865,-0.33,-0.238,138.2313,"Apr 4, 17",-0.020881999008989998
2017-04-05,138.75,139.19,137.1933,137.21,15118,15118,-1.11,-0.802,138.4752,"Apr 5, 17",-0.028739293551355575
2017-04-06,137.42,138.56,137.3925,138.4241,8423,8423,1.2141,0.885,137.7951,"Apr 6, 17",-0.02014511219650315
2017-04-07,138.21,138.54,138.0918,138.34,15399,15399,-0.0841,-0.061,138.3484,"Apr 7, 17",-0.020740426134352705
2017-04-10,138.41,139.03,138.24,138.52,10870,10870,0.18,0.13,138.5875,"Apr 10, 17",-0.019466270262617682
2017-04-11,138.22,139.206,137.93,139.07,12865,12865,0.55,0.397,138.503,"Apr 11, 17",-0.015573016210094265
2017-04-12,139.62,139.62,137.6962,137.83,10266,10266,-1.24,-0.892,138.3205,"Apr 12, 17",-0.024350534437601736
2017-04-13,137.62,137.92,136.4064,136.66,21192,21192,-1.17,-0.849,137.2185,"Apr 13, 17",-0.03263254760387919
2017-04-17,136.91,138.07,136.7,138.07,14705,14705,1.41,1.032,137.3696,"Apr 17, 17",-0.02265165994195524
2017-04-18,137.65,138.31,137.362,138.22,12205,12205,0.15,0.109,137.8166,"Apr 18, 17",-0.021589863382176055
2017-04-19,138.41,139.1902,138.41,138.707,13088,13088,0.487,0.352,138.8074,"Apr 19, 17",-0.018142563884759797
2017-04-20,139.2,140.17,139,140.07,10016,10016,1.363,0.983,139.739,"Apr 20, 17",-0.00849437247823329
2017-04-21,140.1,140.1,139.45,139.85,10086,10086,-0.22,-0.157,139.7643,"Apr 21, 17",-0.010051674099242697
2017-04-24,142.17,142.17,140.98,141.45,12486,12486,1.6,1.144,141.4393,"Apr 24, 17",0.0012741558717348227
2017-04-25,142.24,142.54,141.946,142.07,27155,27155,0.62,0.438,142.1644,"Apr 25, 17",0.005662914985488659
2017-04-26,141.96,142.56,141.7185,141.96,18600,18600,-0.11,-0.077,142.2623,"Apr 26, 17",0.004884264174984057
2017-04-27,142.33,142.93,142.33,142.48,11412,11412,0.52,0.366,142.6926,"Apr 27, 17",0.008565158915551634
2017-04-28,142.78,142.78,141.4,141.5897,30905,30905,-0.8903,-0.625,141.6355,"Apr 28, 17",0.0022630424010758347
2017-05-01,142.05,142.3056,141.33,142.03,20052,20052,0.4403,0.311,141.9465,"May 1, 17",0.005379769236214277
2017-05-02,142.61,142.61,141.5801,142,34630,34630,-0.03,-0.021,141.8257,"May 2, 17",0.005167409924258439
2017-05-03,142.12,142.12,140.8,141.15,7692,7692,-0.85,-0.599,141.3582,"May 3, 17",-0.0008494372478233492
2017-05-04,141.47,141.47,140.75,141.41,13077,13077,0.26,0.184,140.9843,"May 4, 17",0.0009910101224604399
2017-05-05,142.12,142.45,141.32,142.45,15282,15282,1.04,0.735,141.9076,"May 5, 17",0.008352799603595798
2017-05-08,142.24,142.24,141.23,141.664,10426,10426,-0.786,-0.552,141.6887,"May 8, 17",0.0027889856303530618
2017-05-09,141.75,141.88,141.14,141.23,27605,27605,-0.434,-0.306,141.6423,"May 9, 17",-0.00028314574927458384
2017-05-10,141.72,142.4999,141.63,142.33,19668,19668,1.1,0.779,141.9803,"May 10, 17",0.00750336235577265
2017-05-11,142.14,142.14,140.6725,141.46,14702,14702,-0.87,-0.611,141.5452,"May 11, 17",0.0013449423090535692
2017-05-12,141.52,141.52,140.88,141.0519,11510,11510,-0.4081,-0.288,141.1648,"May 12, 17",-0.0015438521979190276
2017-05-15,141.82,142.55,141.6881,142.0854,12948,12948,1.0335,0.733,142.1868,"May 15, 17",0.005771926098959316
2017-05-16,142.22,142.2952,141.2705,142,16879,16879,-0.0854,-0.06,141.8812,"May 16, 17",0.005167409924258439
2017-05-17,140.55,140.58,139.19,139.19,23057,23057,-2.81,-1.979,139.7001,"May 17, 17",-0.014723578962270917
2017-05-18,139.19,139.904,138.4973,139.35,21452,21452,0.16,0.115,139.3711,"May 18, 17",-0.013590995965173184
2017-05-19,139.65,141.188,139.65,140.74,12979,12979,1.39,0.997,140.9003,"May 19, 17",-0.003751681177886325
2017-05-22,141.34,141.68,141.18,141.49,11947,11947,0.75,0.533,141.4168,"May 22, 17",0.0015573016210094065
2017-05-23,141.72,142.01,140.888,141.755,55430,55430,0.265,0.187,141.6254,"May 23, 17",0.0034331422099524683
2017-05-24,142,142.39,141.581,142.2325,25132,25132,0.4775,0.337,141.919,"May 24, 17",0.006813194591916027
2017-05-25,142.89,143.1859,142.3533,142.94,18273,18273,0.7075,0.497,142.8106,"May 25, 17",0.011821335032207739
2017-05-26,142.51,142.806,142.2291,142.52,17714,17714,-0.42,-0.294,142.4864,"May 26, 17",0.008848304664826218
2017-05-30,142.68,142.68,142.0183,142.06,11292,11292,-0.46,-0.323,142.2023,"May 30, 17",0.0055921285481701135
2017-05-31,142.42,142.42,141,142.24,11767,11767,0.18,0.127,141.743,"May 31, 17",0.006866284419905138
2017-06-01,142.65,144.2,142.5,144.2,11437,11437,1.96,1.378,143.0792,"Jun 1, 17",0.020740426134352504
2017-06-02,144.35,145.04,144.0708,144.64,12003,12003,0.44,0.305,144.7945,"Jun 2, 17",0.023855029376371316
2017-06-05,144.78,144.78,144.0325,144.29,9559,9559,-0.35,-0.242,144.451,"Jun 5, 17",0.021377504070220016
2017-06-06,143.94,144.1896,143.43,143.61,17436,17436,-0.68,-0.471,143.836,"Jun 6, 17",0.016564026332554705
2017-06-07,143.93,143.982,143.36,143.72,12071,12071,0.11,0.077,143.7786,"Jun 7, 17",0.017342677143059308
2017-06-08,143.67,145.15,143.6,145.04,12487,12487,1.32,0.918,144.4404,"Jun 8, 17",0.026686486869115747
2017-06-09,145.35,146.111,144,144.68,8748,8748,-0.36,-0.248,145.2695,"Jun 9, 17",0.0241381751256459
2017-06-12,144.49,144.6099,143.92,144.6,9976,9976,-0.08,-0.055,144.3857,"Jun 12, 17",0.023571883627096935
2017-06-13,145,145.7199,145,145.67,9676,9676,1.07,0.74,145.4043,"Jun 13, 17",0.031146032420188128
2017-06-14,145.68,145.76,144.5886,145,98558,98558,-0.67,-0.46,144.9823,"Jun 14, 17",0.026403341119841363
