date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-02-27,236.64,237.31,236.35,237.11,56515440,56515440,0.37,0.156,236.9151,"Feb 27, 17",0
2017-02-28,236.67,236.95,236.015,236.47,96961938,96961938,-0.64,-0.27,236.497,"Feb 28, 17",-0.0026991691619923865
2017-03-01,238.39,240.32,238.37,239.78,149158170,149158170,3.31,1.4,239.5019,"Mar 1, 17",0.011260596347686674
2017-03-02,239.56,239.57,238.21,238.27,70245978,70245978,-1.51,-0.63,238.752,"Mar 2, 17",0.004892244106111073
2017-03-03,238.17,238.61,237.73,238.42,81974300,81974300,0.15,0.063,238.2004,"Mar 3, 17",0.005524861878452928
2017-03-06,237.5,238.12,237.01,237.71,55391533,55391533,-0.71,-0.298,237.5772,"Mar 6, 17",0.00253047108936778
2017-03-07,237.36,237.77,236.76,237,65103737,65103737,-0.71,-0.299,237.1695,"Mar 7, 17",-0.00046391969971748824
2017-03-08,237.34,237.64,236.4,236.56,78168795,78168795,-0.44,-0.186,236.9551,"Mar 8, 17",-0.0023195984985872014
2017-03-09,236.7,237.24,235.74,236.86,90683918,90683918,0.3,0.127,236.6332,"Mar 9, 17",-0.0010543629539032516
2017-03-10,237.97,238.02,236.59,237.69,81991652,81991652,0.83,0.35,237.3762,"Mar 10, 17",0.0024461220530554765
2017-03-13,237.62,237.86,237.24,237.81,57256824,57256824,0.12,0.05,237.5663,"Mar 13, 17",0.0029522162709290567
2017-03-14,237.18,237.24,236.19,236.9,59880778,59880778,-0.91,-0.383,236.7072,"Mar 14, 17",-0.0008856648812787649
2017-03-15,237.56,239.44,237.29,238.95,96081750,96081750,2.05,0.865,238.4092,"Mar 15, 17",0.007760111340727826
2017-03-16,239.11,239.2,238.1,238.48,78343951,78343951,-0.47,-0.197,238.554,"Mar 16, 17",0.005777908987389718
2017-03-17,237.75,237.97,237.03,237.03,89002111,89002111,-1.45,-0.608,237.4613,"Mar 17, 17",-0.00033739614524909325
2017-03-20,237.03,237.36,236.32,236.77,52536979,52536979,-0.26,-0.11,236.8855,"Mar 20, 17",-0.0014339336173084367
2017-03-21,237.47,237.61,233.58,233.73,131809275,131809275,-3.04,-1.284,234.7218,"Mar 21, 17",-0.014254987136772063
2017-03-22,233.77,234.61,233.05,234.28,97569204,97569204,0.55,0.235,233.8384,"Mar 22, 17",-0.01193538863818486
2017-03-23,234,235.34,233.6,234.03,100410277,100410277,-0.25,-0.107,234.3587,"Mar 23, 17",-0.012989751592088112
2017-03-24,234.38,235.04,232.96,233.86,112504853,112504853,-0.17,-0.073,234.0225,"Mar 24, 17",-0.01370671840074227
2017-03-27,231.93,233.92,231.61,233.62,87454452,87454452,-0.24,-0.103,232.8978,"Mar 27, 17",-0.01471890683648943
2017-03-28,233.27,235.81,233.14,235.32,93483915,93483915,1.7,0.728,234.7005,"Mar 28, 17",-0.007549238749947368
2017-03-29,234.99,235.81,234.725,235.54,61950354,61950354,0.22,0.093,235.389,"Mar 29, 17",-0.006621399350512511
2017-03-30,235.47,236.52,235.27,236.29,56737890,56737890,0.75,0.318,236.1148,"Mar 30, 17",-0.003458310488802756
