date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-02-27,66.66,67.45,66.34,67.24,3129406,3129406,0.52,0.779,67.15,"Feb 27, 17",0
2017-02-28,67.28,69.41,67.22,67.95,9074708,9074708,0.71,1.056,68.3018,"Feb 28, 17",0.010559190957763356
2017-03-01,68.51,69.84,68.19,68.48,4921856,4921856,0.53,0.78,68.8068,"Mar 1, 17",0.01844140392623452
2017-03-02,68.22,68.38,65.93,66.45,7342972,7342972,-2.03,-2.964,66.7296,"Mar 2, 17",-0.011748958953004048
2017-03-03,66.89,67.2,66,66.08,4054091,4054091,-0.37,-0.557,66.4549,"Mar 3, 17",-0.017251635930993405
2017-03-06,65.89,66.635,65.43,66.44,3315268,3315268,0.36,0.545,66.266,"Mar 6, 17",-0.01189767995240924
2017-03-07,66.44,66.98,65.42,65.62,5504104,5504104,-0.82,-1.234,65.651,"Mar 7, 17",-0.02409280190362865
2017-03-08,66,67.48,65.83,66.87,7446438,7446438,1.25,1.905,66.8931,"Mar 8, 17",-0.005502676977989149
2017-03-09,66.76,66.76,65.58,66.48,4720291,4720291,-0.39,-0.583,66.2637,"Mar 9, 17",-0.011302795954788681
2017-03-10,66.68,67.37,66.25,66.57,4471559,4471559,0.09,0.135,66.6063,"Mar 10, 17",-0.009964306960142798
2017-03-13,66.51,67.88,66.51,67.66,4970722,4970722,1.09,1.637,67.4981,"Mar 13, 17",0.006246281975014898
2017-03-14,67.32,67.7,66.83,67.44,2955367,2955367,-0.22,-0.325,67.3137,"Mar 14, 17",0.0029744199881023624
2017-03-15,67.73,69,67.13,68.73,4751235,4751235,1.29,1.913,68.1575,"Mar 15, 17",0.02215942891136242
2017-03-16,68.93,69.2,68.47,68.55,3654241,3654241,-0.18,-0.262,68.7205,"Mar 16, 17",0.01948245092207023
2017-03-17,68.75,68.98,68.26,68.9,9529901,9529901,0.35,0.511,68.8392,"Mar 17, 17",0.02468768590124942
2017-03-20,68.74,69.12,68.18,68.53,3175135,3175135,-0.37,-0.537,68.5069,"Mar 20, 17",0.01918500892326006
2017-03-21,68.6,68.7,66.73,67.15,4068049,4068049,-1.38,-2.014,67.3699,"Mar 21, 17",-0.0013384889946458835
2017-03-22,67.16,67.87,66.8,67.57,3123491,3123491,0.42,0.625,67.4241,"Mar 22, 17",0.004907792980368803
2017-03-23,67.63,67.94,67.02,67.1,3298752,3298752,-0.47,-0.696,67.3639,"Mar 23, 17",-0.0020820939916716325
2017-03-24,66.84,67.04,65.7,65.78,4372045,4372045,-1.32,-1.967,66.0184,"Mar 24, 17",-0.021713265913146845
2017-03-27,65.56,66.53,65.45,66.23,2799341,2799341,0.45,0.684,66.1501,"Mar 27, 17",-0.015020820939916583
2017-03-28,66.52,66.64,65.651,66.29,3443381,3443381,0.06,0.091,66.1615,"Mar 28, 17",-0.014128494943485852
2017-03-29,66.2,67.4,66.11,67.14,3326870,3326870,0.85,1.282,67.0215,"Mar 29, 17",-0.0014872099940510756
2017-03-30,67.28,67.31,66.2,66.23,7512752,7512752,-0.91,-1.355,66.4481,"Mar 30, 17",-0.015020820939916583
2017-03-31,66.23,66.67,66.06,66.29,3622057,3622057,0.06,0.091,66.3508,"Mar 31, 17",-0.014128494943485852
2017-04-03,66.59,66.59,65.66,66.23,3319449,3319449,-0.06,-0.091,66.1298,"Apr 3, 17",-0.015020820939916583
2017-04-04,65.75,66.3,65.37,65.81,3101537,3101537,-0.42,-0.634,65.7135,"Apr 4, 17",-0.02126710291493148
2017-04-05,66.12,66.7,65,65.09,3236739,3236739,-0.72,-1.094,65.7308,"Apr 5, 17",-0.03197501487209982
2017-04-06,65.11,65.59,64.71,65.07,3378058,3378058,-0.02,-0.031,65.135,"Apr 6, 17",-0.0322724568709102
2017-04-07,65.07,66.1,65,65.57,3854605,3854605,0.5,0.768,65.544,"Apr 7, 17",-0.0248364069006544
2017-04-10,65.6,66.245,65.3,65.35,3409388,3409388,-0.22,-0.336,65.6303,"Apr 10, 17",-0.028108268887566935
2017-04-11,65.27,65.66,64.78,65.63,3927450,3927450,0.28,0.428,65.3228,"Apr 11, 17",-0.02394408090422367
2017-04-12,65.9,66.25,65.07,65.13,4156219,4156219,-0.5,-0.762,65.4271,"Apr 12, 17",-0.03138013087447947
2017-04-13,65.17,65.63,64.58,64.68,3105204,3105204,-0.45,-0.691,64.9397,"Apr 13, 17",-0.038072575847709525
2017-04-17,64.74,65.195,64.65,65.19,2909848,2909848,0.51,0.788,65.0464,"Apr 17, 17",-0.03048780487804874
2017-04-18,64.93,65.1,63.58,64.15,4606085,4606085,-1.04,-1.595,64.2134,"Apr 18, 17",-0.04595478881618069
2017-04-19,64.22,64.37,63.26,63.49,4988347,4988347,-0.66,-1.029,63.5833,"Apr 19, 17",-0.0557703747769184
2017-04-20,63.68,64.71,63.56,64.1,2777836,2777836,0.61,0.961,64.2015,"Apr 20, 17",-0.04669839381320644
2017-04-21,64.59,65.63,64.2,65.23,5113234,5113234,1.13,1.763,65.1351,"Apr 21, 17",-0.029892920880428185
2017-04-24,65.7,67.21,65.7,66.82,7074976,7074976,1.59,2.438,66.8211,"Apr 24, 17",-0.006246281975014898
2017-04-25,67.15,67.69,65.01,65.83,7379746,7379746,-0.99,-1.482,65.7922,"Apr 25, 17",-0.02096966091612131
2017-04-26,65.41,65.75,64.81,64.9,6540483,6540483,-0.93,-1.413,65.2244,"Apr 26, 17",-0.034800713860796986
2017-04-27,64.68,65.49,63.85,65.32,4222844,4222844,0.42,0.647,64.811,"Apr 27, 17",-0.0285544318857823
2017-04-28,65.62,65.64,64.41,64.61,4079246,4079246,-0.71,-1.087,64.6802,"Apr 28, 17",-0.03911362284354544
2017-05-01,64.82,64.87,63.96,64.36,5432870,5432870,-0.25,-0.387,64.3884,"May 1, 17",-0.042831647828673346
2017-05-02,64.79,64.83,64.16,64.49,4476255,4476255,0.13,0.202,64.4402,"May 2, 17",-0.0408982748364069
2017-05-03,64.28,65.155,64.07,64.9,2993619,2993619,0.41,0.636,64.8163,"May 3, 17",-0.034800713860796986
2017-05-04,64.53,64.94,63.96,64.37,3068340,3068340,-0.53,-0.817,64.3462,"May 4, 17",-0.04268292682926815
2017-05-05,64.59,65.52,64.308,65.34,4668899,4668899,0.97,1.507,65.2007,"May 5, 17",-0.028256989886971916
2017-05-08,65.38,66.2661,65.32,66.11,3472896,3472896,0.77,1.178,66.0284,"May 8, 17",-0.01680547293277804
2017-05-09,66.31,67.16,66.17,66.63,3836294,3836294,0.52,0.787,66.6451,"May 9, 17",-0.009071980963712069
2017-05-10,66.75,67.03,65.91,66.68,3410253,3410253,0.05,0.075,66.5214,"May 10, 17",-0.008328375966686319
2017-05-11,66.87,66.93,66.115,66.35,2847543,2847543,-0.33,-0.495,66.4626,"May 11, 17",-0.013236168947055333
2017-05-12,66.28,66.76,66.16,66.42,3549592,3549592,0.07,0.106,66.3902,"May 12, 17",-0.012195121951219412
2017-05-15,66.15,66.15,65.16,65.55,3294950,3294950,-0.87,-1.31,65.6915,"May 15, 17",-0.025133848899464573
2017-05-16,65.12,65.35,63.96,64.54,6322456,6322456,-1.01,-1.541,64.4088,"May 16, 17",-0.04015466983938115
2017-05-17,64.27,64.79,63.48,63.8,4529820,4529820,-0.74,-1.147,63.9481,"May 17, 17",-0.051160023795359874
2017-05-18,63.49,64.07,63.03,63.54,3385934,3385934,-0.26,-0.408,63.5212,"May 18, 17",-0.05502676977989286
2017-05-19,63.69,64.163,63.17,63.87,3396116,3396116,0.33,0.519,63.8415,"May 19, 17",-0.05011897679952406
2017-05-22,64.26,64.29,63.56,63.84,2742453,2742453,-0.03,-0.047,63.8701,"May 22, 17",-0.05056513979773932
2017-05-23,63.71,64.36,63.29,64.12,2945595,2945595,0.28,0.439,63.9488,"May 23, 17",-0.04640095181439605
2017-05-24,64.17,64.61,63.51,63.81,3001282,3001282,-0.31,-0.483,63.8842,"May 24, 17",-0.051011302795954686
2017-05-25,63.63,64.19,63.05,63.19,3786245,3786245,-0.62,-0.972,63.5261,"May 25, 17",-0.06023200475907194
2017-05-26,63.19,63.5,62.13,62.45,3718744,3718744,-0.74,-1.171,62.4742,"May 26, 17",-0.07123735871505045
2017-05-30,61.61,62.79,60.69,62.09,6566649,6566649,-0.36,-0.576,61.968,"May 30, 17",-0.07659131469363462
2017-05-31,61.83,62.17,60.91,61.47,4655909,4655909,-0.62,-0.999,61.3277,"May 31, 17",-0.08581201665675188
2017-06-01,61.37,62.44,61.07,62.12,3541383,3541383,0.65,1.057,61.9594,"Jun 1, 17",-0.07614515169541936
2017-06-02,62.43,62.72,62,62.1,2788894,2788894,-0.02,-0.032,62.2323,"Jun 2, 17",-0.07644259369422954
2017-06-05,61.91,62.67,61.79,62.4,3897147,3897147,0.3,0.483,62.3414,"Jun 5, 17",-0.0719809637120761
2017-06-06,62.14,62.56,61.86,62.29,2579818,2579818,-0.11,-0.176,62.2367,"Jun 6, 17",-0.07361689470553236
2017-06-07,61.82,62.48,61.59,62.3,4378186,4378186,0.01,0.016,62.113,"Jun 7, 17",-0.07346817370612728
2017-06-08,62.17,64.15,62.17,63.18,5021336,5021336,0.88,1.413,63.34,"Jun 8, 17",-0.06038072575847703
2017-06-09,63.01,65.76,62.885,65.26,6201156,6201156,2.08,3.292,64.9224,"Jun 9, 17",-0.029446757882212817
