date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-02-27,113.15,113.6413,113.03,113.57,115517,115517,0.37,0.327,113.4466,"Feb 27, 17",0
2017-02-28,113.31,113.31,112.59,112.74,86723,86723,-0.83,-0.731,112.9119,"Feb 28, 17",-0.007308268028528646
2017-03-01,113.68,113.98,113.2,113.8,169057,169057,1.06,0.94,113.6911,"Mar 1, 17",0.002025182706700748
2017-03-02,113.75,113.75,112.89,112.96,311466,311466,-0.84,-0.738,113.1539,"Mar 2, 17",-0.005371136743858408
2017-03-03,112.88,113.0678,112.55,112.99,102210,102210,0.03,0.027,112.7949,"Mar 3, 17",-0.005106982477767001
2017-03-06,112.6,112.6499,112.1901,112.54,105000,105000,-0.45,-0.398,112.4822,"Mar 6, 17",-0.009069296469137861
2017-03-07,112.38,112.52,111.9,112.01,96115,96115,-0.53,-0.471,112.1431,"Mar 7, 17",-0.013736021836752559
2017-03-08,112.14,112.3899,111.74,111.85,85445,85445,-0.16,-0.143,112.1131,"Mar 8, 17",-0.015144844589240107
2017-03-09,111.89,112.21,111.168,111.82,142737,142737,-0.03,-0.027,111.7831,"Mar 9, 17",-0.015408998855331514
2017-03-10,112.41,112.55,111.8401,112.51,114551,114551,0.69,0.617,112.2642,"Mar 10, 17",-0.00933345073522927
2017-03-13,112.53,113.0499,112.42,112.97,134750,134750,0.46,0.409,112.7332,"Mar 13, 17",-0.0052830853218278975
2017-03-14,112.73,112.73,112.03,112.47,143058,143058,-0.5,-0.443,112.3646,"Mar 14, 17",-0.009685656423351188
2017-03-15,112.95,113.8625,112.69,113.67,99615,99615,1.2,1.067,113.065,"Mar 15, 17",0.000880514220304733
2017-03-16,113.84,113.84,113.231,113.41,92033,92033,-0.26,-0.229,113.4613,"Mar 16, 17",-0.0014088227524874227
2017-03-17,113.72,113.8,113.42,113.49,73971,73971,0.08,0.071,113.596,"Mar 17, 17",-0.0007044113762437114
2017-03-20,113.47,113.54,112.9344,113.2178,99516,99516,-0.2722,-0.24,113.2428,"Mar 20, 17",-0.0031011710839129727
2017-03-21,113.64,113.64,111.4098,111.48,167418,167418,-1.7378,-1.535,112.3473,"Mar 21, 17",-0.018402747204367256
2017-03-22,111.48,111.99,111.13,111.93,99947,99947,0.45,0.404,111.6464,"Mar 22, 17",-0.01444043321299627
2017-03-23,111.8,112.63,111.74,111.94,100117,100117,0.01,0.009,112.2519,"Mar 23, 17",-0.014352381790965886
2017-03-24,112.14,112.48,111.573,111.98,83077,83077,0.04,0.036,112.1792,"Mar 24, 17",-0.014000176102843967
2017-03-27,111.07,111.99,110.79,111.84,103393,103393,-0.14,-0.125,111.5279,"Mar 27, 17",-0.015232896011270492
2017-03-28,111.67,112.71,111.61,112.58,74885,74885,0.74,0.662,112.2663,"Mar 28, 17",-0.008717090781016068
2017-03-29,112.48,113.09,112.31,113.05,94977,94977,0.47,0.417,112.8744,"Mar 29, 17",-0.004578673945584187
2017-03-30,112.97,113.19,112.84,112.97,96378,96378,-0.08,-0.071,113.0003,"Mar 30, 17",-0.0052830853218278975
2017-03-31,112.91,113.26,112.7201,112.95,93935,93935,-0.02,-0.018,113.0165,"Mar 31, 17",-0.005459188165888794
2017-04-03,113.05,113.1333,111.9283,112.44,109654,109654,-0.51,-0.452,112.4843,"Apr 3, 17",-0.009949810689442595
2017-04-04,112.23,112.47,111.92,112.11,97839,97839,-0.33,-0.293,112.1168,"Apr 4, 17",-0.012855507616447952
2017-04-05,112.54,113.06,111.6301,111.72,83609,83609,-0.39,-0.348,112.5438,"Apr 5, 17",-0.01628951307563612
2017-04-06,111.88,112.629,111.6601,112.48,101437,101437,0.76,0.68,112.1713,"Apr 6, 17",-0.009597605001320677
